tag,t_id
30-minutes-or-less,1
time-to-make,2
course,3
preparation,4
5-ingredients-or-less,5
drop-cookies,6
desserts,7
easy,8
cookies-and-brownies,9
main-ingredient,10
low-protein,11
salads,12
vegetables,13
chocolate,14
dietary,15
low-sodium,16
low-carb,17
low-in-something,18
tomatoes,19
15-minutes-or-less,20
for-1-or-2,21
healthy,22
granola-and-porridge,23
breakfast,24
low-fat,25
vegetarian,26
grains,27
low-cholesterol,28
low-saturated-fat,29
low-calorie,30
pasta-rice-and-grains,31
number-of-servings,32
3-steps-or-less,33
cuisine,34
occasion,35
north-american,36
american,37
kid-friendly,38
frozen-desserts,39
comfort-food,40
midwestern,41
taste-mood,42
sweet,43
healthy-2,44
finger-food,45
bar-cookies,46
presentation,47
lunch,48
beef,49
sandwiches,50
inexpensive,51
toddler-friendly,52
meat,53
60-minutes-or-less,54
side-dishes,55
copycat,56
novelty,57
main-dish,58
poultry,59
dinner-party,60
holiday-event,61
turkey,62
thanksgiving,63
turkey-breasts,64
4-hours-or-less,65
fruit,66
european,67
refrigerator,68
candy,69
stove-top,70
gifts,71
egg-free,72
free-of-something,73
citrus,74
oranges,75
equipment,76
weeknight,77
cakes,78
lactose,79
appetizers,80
summer,81
chicken,82
spicy,83
seasonal,84
wings,85
nut-free,86
beginner-cook,87
vegan,88
dips,89
condiments-etc,90
kosher,91
gluten-free,92
cooking-mixes,93
very-low-carbs,94
deep-fry,95
brunch,96
technique,97
beverages,98
smoothies,99
food-processor-blender,100
berries,101
small-appliance,102
for-large-groups,103
spreads,104
picnic,105
high-protein,106
high-in-something,107
chicken-breasts,108
to-go,109
marinades-and-rubs,110
seafood,111
shrimp,112
melons,113
shellfish,114
potatoes,115
pasta,116
italian,117
lasagna,118
one-dish-meal,119
southern-united-states,120
barbecue,121
californian,122
grilling,123
pork,124
dutch,125
pork-sausage,126
greens,127
mexican,128
oven,129
broil,130
steaks,131
pies-and-tarts,132
tarts,133
apples,134
omelets-and-frittatas,135
eggs-dairy,136
cheese,137
eggs,138
winter,139
breads,140
yeast,141
blueberries,142
strawberries,143
pies,144
crusts-pastry-dough-2,145
curries,146
no-cook,147
potluck,148
sauces,149
romantic,150
valentines-day,151
savory-sauces,152
onions,153
savory,154
served-hot,155
casseroles,156
rice,157
carrots,158
diabetic,159
gelatin,160
southwestern-united-states,161
tex-mex,162
independence-day,163
scallops,164
lettuces,165
saudi-arabian,166
middle-eastern,167
ramadan,168
microwave,169
tropical-fruit,170
pineapple,171
freezer,172
served-cold,173
asian,174
filipino,175
papaya,176
scandinavian,177
1-day-or-more,178
spanish,179
south-american,180
argentine,181
sweet-sauces,182
venezuelan,183
lemon,184
savory-pies,185
russian,186
pork-chops,187
canadian,188
christmas,189
new-years,190
northeastern-united-states,191
elbow-macaroni,192
puddings-and-mousses,193
english,194
snacks,195
ham,196
finnish,197
shakes,198
cobblers-and-crisps,199
cheesecake,200
fudge,201
beans,202
chili,203
crock-pot-slow-cooker,204
black-beans,205
vietnamese,206
high-calcium,207
chicken-thighs-legs,208
brazilian,209
rolls-biscuits,210
quick-breads,211
cajun,212
fish,213
flat-shapes,214
indian,215
squash,216
sourdough,217
salmon,218
freshwater-fish,219
saltwater-fish,220
pork-loins,221
broccoli,222
iraqi,223
long-grain-rice,224
lamb-sheep,225
ecuadorean,226
corn,227
cake-fillings-and-frostings,228
brown-bag,229
swedish,230
ground-beef,231
fall,232
stews,233
roast-beef,234
beef-ribs,235
pork-ribs,236
south-african,237
african,238
heirloom-historical,239
soups-stews,240
sole-and-flounder,241
peppers,242
beef-sausage,243
yams-sweet-potatoes,244
mixer,245
nigerian,246
raspberries,247
bananas,248
pitted-fruit,249
peaches,250
palestinian,251
burgers,252
beef-organ-meats,253
beef-liver,254
cocktails,255
french,256
hand-formed-cookies,257
caribbean,258
central-american,259
nuts,260
coconut,261
whole-chicken,262
german,263
asparagus,264
swiss,265
clams,266
salad-dressings,267
south-west-pacific,268
bread-machine,269
bacon,270
green-yellow-beans,271
lime,272
welsh,273
brown-rice,274
white-rice,275
cupcakes,276
roast,277
easter,278
moroccan,279
short-grain-rice,280
greek,281
muffins,282
oysters,283
oamc-freezer-make-ahead,284
scottish,285
biscotti,286
spring,287
wedding,288
scones,289
rosh-hashana,290
new-zealand,291
infant-baby-friendly,292
coffee-cakes,293
pancakes-and-waffles,294
canning,295
pressure-cooker,296
baking,297
from-scratch,298
tuna,299
australian,300
hungarian,301
thai,302
jams-and-preserves,303
dairy-free,304
mushrooms,305
jewish-ashkenazi,306
celebrity,307
ravioli-tortellini,308
ontario,309
wild-game,310
deer,311
pressure-canning,312
pears,313
korean,314
brownies,315
chowders,316
simply-potatoes,317
grapes,318
spinach,319
stuffings-dressings,320
pasta-shells,321
irish,322
camping,323
superbowl,324
chick-peas-garbanzos,325
veggie-burgers,326
passover,327
st-patricks-day,328
pizza,329
cauliflower,330
spaghetti,331
crab,332
no-shell-fish,333
squid,334
veal,335
polynesian,336
clear-soups,337
salsas,338
punch,339
soy-tofu,340
leftovers,341
water-bath,342
herb-and-spice-mixes,343
orange-roughy,344
bisques-cream-soups,345
stocks,346
halloween,347
lentils,348
ragu-recipe-contest,349
mango,350
non-alcoholic,351
rolled-cookies,352
creole,353
brewing,354
colombian,355
lebanese,356
japanese,357
stir-fry,358
hunan,359
chinese,360
cod,361
halibut,362
mahi-mahi,363
egyptian,364
amish-mennonite,365
pennsylvania-dutch,366
portuguese,367
mardi-gras-carnival,368
smoker,369
high-fiber,370
bok-choys,371
mothers-day,372
polish,373
penne,374
plums,375
iranian-persian,376
chicken-livers,377
kwanzaa,378
steak,379
belgian,380
fathers-day,381
medium-grain-rice,382
soul,383
norwegian,384
austrian,385
hanukkah,386
pacific-northwest,387
british-columbian,388
unprocessed-freezer,389
tilapia,390
oatmeal,391
duck,392
manicotti,393
danish,394
gumbo,395
